id_teks,sumber_teks,id_kalimat,kalimat,hash_teks
1,cerita_1.txt,1,Pagi itu Rina bangun lebih awal.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,2,Rina merapikan tempat tidur di kamarnya.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,3,Ibu memanggil Rina dari dapur.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,4,Rina berjalan ke dapur dengan cepat.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,5,Ibu menyiapkan sarapan nasi goreng.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,6,Rina membantu ibu menata meja makan.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,7,Ayah membaca koran di ruang tamu.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,8,Adik bermain bola di halaman rumah.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,9,Rina mengambil piring dari lemari.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,10,Ibu menuangkan teh hangat ke gelas.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,11,Ayah memanggil semua anggota keluarga.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,12,Mereka duduk bersama di meja makan.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,13,Rina makan nasi goreng dengan lahap.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,14,Adik minum teh dengan hati-hati.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,15,Ayah bercerita tentang pekerjaan di kantor.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
1,cerita_1.txt,16,Ibu mendengarkan cerita ayah dengan tenang.,e89f05dc2f612da8e34f4d1e777ac15e1582889dd0835dd6db74647410b18dbd
